track_name,artist_name,artist_genres
Yo No Soy Celoso,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Tarot,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Tití Me Preguntó,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Un Coco,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Un Ratito,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Un Verano Sin Ti,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
"A Gift Of A Thistle - From Braveheart""""",Eric Heitmann,celtic
Agosto,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Aguacero,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Andrea,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Callaita,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Después de la Playa,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Dos Mil 16,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Efecto,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
El Apagón,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Enséñame a Bailar,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Party,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
La Corriente,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
D.M.B.,A$AP Rocky,rap
WAIT FOR U (feat. Drake & Tems),Future,rap
Top Of The World,Dorothy,southern gothic
Gaia,King Gizzard & The Lizard Wizard,"neo-psychedelic, psychedelic rock"
Where You Are (feat. WILLOW),PinkPantheress,bedroom pop
PROVENZA,KAROL G,"reggaeton, latin, urbano latino"
Te Felicito,Shakira,latin pop
PLEASE,Omido,dark r&b
Flatliner,Cole Swindell,"country, acoustic country"
Envolver,Anitta,"brazilian pop, funk pop, brazilian funk, funk carioca"
Ghost,KYANU,"nightcore, hypertechno"
NO ESCAPE,HEALTH,"noise rock, industrial, witch house, industrial rock, industrial metal"
BABYDOLL (Speed),Ari Abdul,dark r&b
Enjoy the Silence,Depeche Mode,"new wave, synthpop, darkwave"
Ferrari,James Hype,"house, tech house"
You - Live,Miley Cyrus,"country pop, rock, hip hop, experimental"
Who Do You Want,Ex Habit,dark r&b
RUNRUNRUN,Dutch Melrose,dark r&b
Beg for You (feat. Rina Sawayama),Charli xcx,"hyperpop, art pop"
CANDY,ROSALÍA,latin
Cigarettes,Juice WRLD,"melodic rap, emo rap"
楽しい日常~~ワノ国編~~,Kohei Tanaka,anime
The Thunder-Fire Dragon Roars,Yasuharu Takanashi,"anime, soundtrack"
THE SHADE,Rex Orange County,bedroom pop
Call Me Little Sunshine,Ghost,"metal, hard rock"
"OPEN A WINDOW (feat. Tyler, The Creator)",Rex Orange County,bedroom pop
Waiting For Tonight,Cabuizee,electro house
Can't Stop,Bare Up,drum and bass
Starlight,Dave,"grime, uk grime, uk drill, drill"
Mystery Key - Eyedress Remix,Provoker,"darkwave, lo-fi indie, post-punk, cold wave"
BABYDOLL,Ari Abdul,dark r&b
Belly Dancer,Imanbek,slap house
Headlights (feat. KIDDO),Alok,"brazilian bass, electronic, slap house, electro house"
Uncharted,Ramin Djawadi,soundtrack
Tangled - Kingdom Dance (Tavern Edition),Colm R. McGuinness,"sea shanties, celtic"
Catwoman,Michael Giacchino,soundtrack
MIDNIGHT,PLAYAMANE,"phonk, drift phonk"
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,soft pop
MAMIII,Becky G,"reggaeton, latin"
she's all i wanna be,Tate McRae,pop
Visa,Idreesi,arabic hip hop
The Riddler,Michael Giacchino,soundtrack
Monument Valley,Gary O'Slide,southern gothic
Osmose,Gary O'Slide,southern gothic
Superhuman (with K.Flay),Party Favor,edm trap
The Batman,Michael Giacchino,soundtrack
The Book of Boba Fett,Ludwig Göransson,soundtrack
Watercolor Eyes - From “Euphoria” An HBO Original Series,Lana Del Rey,"alternative pop, indie pop"
You Keep Me Crawling,AURORA,"norwegian pop, art pop"
Light Switch,Charlie Puth,"soft pop, pop"
ミリス神聖国,藤澤慶昌,anime
tears in the club (feat. the weeknd),FKA twigs,"art pop, alternative r&b"
pushin P (feat. Young Thug),Gunna,melodic rap
Sacrifice,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Is There Someone Else?,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Less Than Zero,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Out of Time,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
What Hurts The Most,Rascal Flatts,country
When I’m Gone (with Katy Perry),Alesso,edm
nuts (feat. rainy bear),Lil Peep,"emo rap, cloud rap"
Nächte in der Trap,Beyazz,german hip hop
Love & Validation - Single Edit,Boys Noize,electro house
Todo De Ti,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin"
Hawkeye's Theme,Christophe Beck,soundtrack
Zankyou Sanka (Demon Slayer Piano),Aleta,anime
The Perfect Girl,Mareux,"darkwave, cold wave"
Toxic,Omido,dark r&b
I Hate U,SZA,r&b
Living Rooms,Lil Peep,"emo rap, cloud rap"
New Frnd,Zaid Khaled,"arabic hip hop, egyptian hip hop, egyptian pop"
Cry Your Heart Out,Adele,soft pop
Easy On Me,Adele,soft pop
Hold On,Adele,soft pop
I Drink Wine,Adele,soft pop
To Be Loved,Adele,soft pop
Weekend,Dxvn.,"dark r&b, trap soul"
Love Is A Game,Adele,soft pop
My Little Love,Adele,soft pop
Oh My God,Adele,soft pop
Strangers By Nature,Adele,soft pop
Woman Like Me,Adele,soft pop
All Night Parking (with Erroll Garner) Interlude,Adele,soft pop
Can I Get It,Adele,soft pop
right here,Lil Peep,"emo rap, cloud rap"
Praise God,Kanye West,rap
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
Smells Like Teen Spirit - Remastered 2021,Nirvana,"grunge, rock"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
All Too Well (Taylor's Version),Taylor Swift,"country, pop, indie, folk"
Begin Again (Taylor's Version),Taylor Swift,"country, pop, indie, folk"
Holy Ground (Taylor's Version),Taylor Swift,"country, pop, indie, folk"
Treacherous (Taylor's Version),Taylor Swift,"country, pop, indie, folk"
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
LA FAMA (with The Weeknd),ROSALÍA,latin
What We Leave Behind,Kupla,"lo-fi hip hop, lo-fi, lo-fi beats"
No Love (with SZA),Summer Walker,r&b
One Right Now (with The Weeknd),Post Malone,"pop, hip hop, country"
Su Sonrisa Su Carita Sus Manitas,Dj Pegamento,"bolero, chicha"
Aguas da Amazonia: Japurá River,Philip Glass,"minimalism, classical, neoclassical"
WASTE,KXLLSWXTCH,trap metal
Make Me Feel,Elvis Drew,dark r&b
Bad Habits,Ed Sheeran,soft pop
Shivers,Ed Sheeran,soft pop
Dealer,Lana Del Rey,"alternative pop, indie pop"
Deep End,Cabuizee,electro house
Living Legend,Lana Del Rey,"alternative pop, indie pop"
Moth To A Flame (with The Weeknd),Swedish House Mafia,edm
Black Bathing Suit,Lana Del Rey,"alternative pop, indie pop"
Just for Me,PinkPantheress,bedroom pop
Pain,PinkPantheress,bedroom pop
Nezuko Theme,Samuel Kim,anime
Tschick,verifiziert,"german indie, german indie pop"
Cold (feat. CADE),Darci,dark r&b
Show Me Love,JNL,"future bass, pinoy hip hop"
For Tonight,GIVĒON,r&b
ISSUES,Daniel Di Angelo,dark r&b
UN DIA (ONE DAY),J Balvin,"reggaeton, latin"
MONEY,LISA,k-pop
Obsessed With You,Central Cee,"uk drill, drill, uk grime, grime"
Way 2 Sexy (with Future & Young Thug),Drake,rap
Knife Talk (with 21 Savage ft. Project Pat),Drake,rap
Fair Trade (with Travis Scott),Drake,rap
Drive You Insane,Daniel Di Angelo,dark r&b
Xu Shang-Chi,Joel P West,soundtrack
Hurricane,Kanye West,rap
Essence (feat. Justin Bieber & Tems),Wizkid,"afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano"
"10,000 Hours (with Justin Bieber)",Dan + Shay,country
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,dance pop
Every Summertime,NIKI,indonesian r&b
REPEAT IT (with Gunna),Lil Tecca,"melodic rap, rap"
Take My Breath - Single Version,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Male Fantasy,Billie Eilish,"alternative pop, electropop, dark pop"
my future,Billie Eilish,"alternative pop, electropop, dark pop"
NDA,Billie Eilish,"alternative pop, electropop, dark pop"
Nothing Else Matters - Jungle Cruise Version Part 1,James Newton Howard,soundtrack
Therefore I Am,Billie Eilish,"alternative pop, electropop, dark pop"
Everybody Dies,Billie Eilish,"alternative pop, electropop, dark pop"
Getting Older,Billie Eilish,"alternative pop, electropop, dark pop"
Where Are You Now,Lost Frequencies,tropical house
Your Power,Billie Eilish,"alternative pop, electropop, dark pop"
OverHeated,Billie Eilish,"alternative pop, electropop, dark pop"
A Steamer to Brazil,James Newton Howard,soundtrack
Absolutely Exhausting,James Newton Howard,soundtrack
Bad Girls Do It Well,Ex Habit,dark r&b
Body,Rosenfeld,dark r&b
GOLDWING,Billie Eilish,"alternative pop, electropop, dark pop"
Halley's Comet,Billie Eilish,"alternative pop, electropop, dark pop"
Happier Than Ever,Billie Eilish,"alternative pop, electropop, dark pop"
I Didn't Change My Number,Billie Eilish,"alternative pop, electropop, dark pop"
Happier Than Ever - Edit,Billie Eilish,"alternative pop, electropop, dark pop"
Lost Control,2 VIVE,slap house
Drunk On A Plane,Dierks Bentley,country
Blouse,Clairo,bedroom pop
All For Me,Mariah the Scientist,alternative r&b
Motley Crew,Post Malone,"pop, hip hop, country"
This Is Revenge,Hiroaki Tsutsumi,anime
Tokyo Revengers -Main Theme-,Hiroaki Tsutsumi,anime
Loki Green Theme,Natalie Holt,soundtrack
pain,Lil Peep,"emo rap, cloud rap"
past the castle walls,Lil Peep,"emo rap, cloud rap"
your favorite dress,Lil Peep,"emo rap, cloud rap"
Glorious Purpose,Natalie Holt,soundtrack
If I Don't Make It Back,Tracy Lawrence,"country, classic country, traditional country"
Hush,The Marías,bedroom pop
Spin Me Around,The Marías,bedroom pop
Pepas,Farruko,"reggaeton, trap latino"
Payphone,Maroon 5,pop
"The Rose Song - From High School Musical: The Musical: The Series (Season 2)""""",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
working,Tate McRae,pop
"TVA - From Loki""/Score""",Natalie Holt,soundtrack
Dreams,King Gizzard & The Lizard Wizard,"neo-psychedelic, psychedelic rock"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,pop
Memories,Maroon 5,pop
All Eyes On Me (Song Only),Bo Burnham,comedy
Break It Off,PinkPantheress,bedroom pop
Butter,BTS,k-pop
"YAC Alma Mater - From High School Musical: The Musical: The Series (Season 2)""/Nini Version""",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
Yonaguni,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
"Granted - From High School Musical: The Musical: The Series (Season 2)""""",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
"The Best Part - From High School Musical: The Musical: The Series (Season 2)""""",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
Sedona,Gary O'Slide,southern gothic
Shut Up and Listen,Nicholas Bonnin,dark r&b
1922,Gary O'Slide,southern gothic
Happy Mississippi,Gary O'Slide,southern gothic
Jumpin' Jack Flash,The Rolling Stones,"classic rock, rock"
deja vu,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
Depth,Rising Appalachia,southern gothic
drivers license,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
enough for you,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
favorite crime,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
good 4 u,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
happier,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
hope ur ok,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
"jealousy, jealousy",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
Leave Before You Love Me (with Jonas Brothers),Marshmello,edm
Record Year,Eric Church,"country, acoustic country"
traitor,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
"1 step forward, 3 steps back",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
brutal,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
Blue Banisters,Lana Del Rey,"alternative pop, indie pop"
Freaks,Surf Curse,indie
"Enter the Bad Batch - From Star Wars: The Bad Batch""/Score""",Kevin Kiner,soundtrack
Anything Goes,Florida Georgia Line,"country, pop country, acoustic country"
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,rap
Run,OneRepublic,soft pop
Go Down Deh (feat. Sean Paul & Shaggy),Spice,"dancehall, soca, shatta, ragga"
I'll Call You Mine,girl in red,bedroom pop
midnight love,girl in red,bedroom pop
"Even When/The Best Part - From High School Musical: The Musical: The Series (Season 2)""""",Olivia Rodrigo,"pop rock, alternative pop, pop punk"
.,girl in red,bedroom pop
Body And Mind,girl in red,bedroom pop
Rue,girl in red,bedroom pop
so schön,CRO,"german hip hop, german indie, german pop, german indie pop"
letzter song,CRO,"german hip hop, german indie, german pop, german indie pop"
ALLES DOPE,CRO,"german hip hop, german indie, german pop, german indie pop"
Unpunishable,Ethel Cain,southern gothic
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
The Beginning,Alisa Okehazama,anime
Techno Syndrome 2021 (Mortal Kombat),Benjamin Wallfisch,soundtrack
Calabria (feat. Lunis & Lujavo),Dance Fruits Music,"deep house, slap house"
White Horse (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
You Belong With Me (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
You’re Not Sorry (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Hey Stephen (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Jump Then Fall (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Superstar (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Tell Me Why (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
The Best Day (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
The Other Side Of The Door (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
The Way I Loved You (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Today Was A Fairytale (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Untouchable (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Bye Bye Baby (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
Change (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Love Story (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
Come In With The Rain (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Don’t You (Taylor’s Version) (From The Vault),Taylor Swift,"country, pop, indie, folk"
Fearless (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Fifteen (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Forever & Always (Taylor’s Version),Taylor Swift,"country, pop, indie, folk"
Breakaway,Weisser Quiff,tropical house
Calling My Phone,Lil Tjay,"brooklyn drill, melodic rap"
wish i loved you in the 90s,Tate McRae,pop
you broke me first,Tate McRae,pop
r u ok,Tate McRae,pop
rubberband,Tate McRae,pop
slower,Tate McRae,pop
bad ones,Tate McRae,pop
BICHOTA,KAROL G,"reggaeton, latin, urbano latino"
Tusa,KAROL G,"reggaeton, latin, urbano latino"
Unstable (feat. The Kid LAROI),Justin Bieber,"pop, contemporary r&b"
Yosemite,Lana Del Rey,"alternative pop, indie pop"
Hold On,Justin Bieber,"pop, contemporary r&b"
Holy (feat. Chance The Rapper),Justin Bieber,"pop, contemporary r&b"
Lonely (with benny blanco),Justin Bieber,"pop, contemporary r&b"
Love You Different (feat. BEAM),Justin Bieber,"pop, contemporary r&b"
Loved By You (feat. Burna Boy),Justin Bieber,"pop, contemporary r&b"
Off My Face,Justin Bieber,"pop, contemporary r&b"
2 Much,Justin Bieber,"pop, contemporary r&b"
Anyone,Justin Bieber,"pop, contemporary r&b"
As I Am (feat. Khalid),Justin Bieber,"pop, contemporary r&b"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"pop, contemporary r&b"
Somebody,Justin Bieber,"pop, contemporary r&b"
stranger,Jhené Aiko,r&b
Dance Till We Die,Lana Del Rey,"alternative pop, indie pop"
Dark But Just A Game,Lana Del Rey,"alternative pop, indie pop"
Deserve You,Justin Bieber,"pop, contemporary r&b"
Die For You (feat. Dominic Fike),Justin Bieber,"pop, contemporary r&b"
Ghost,Justin Bieber,"pop, contemporary r&b"
I Miss You,blink-182,"pop punk, punk, rock, skate punk, emo"
Wants and Needs (feat. Lil Baby),Drake,rap
Hurts So Good,Astrid S,norwegian pop
Letters from Home,John Michael Montgomery,"country, classic country"
Medicine,James Arthur,soft pop
He's So Good,Trash Boat,"pop punk, emo, queercore"
Suga Suga,Lofi Fruits Music,"lo-fi hip hop, lo-fi, lo-fi beats"
We're Good,Dua Lipa,pop
The Hills,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
The Morning,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Love Me Harder,Ariana Grande,pop
Often,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Die For You,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Earned It (Fifty Shades Of Grey),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Heartless,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
I Feel It Coming,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
In Your Eyes,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
After Hours,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Blinding Lights,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Call Out My Name,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Can't Feel My Face,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Wicked Games,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Pray For Me,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Save Your Tears,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Starboy,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,"alternative pop, electropop, dark pop"
Goosebumps - Remix,Travis Scott,rap
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,house
Your Love (9PM),ATB,trance
Colors,Elvis Drew,dark r&b
Arid night,Gary O'Slide,southern gothic
‘tis the damn season,Taylor Swift,"country, pop, indie, folk"
champagne problems,Taylor Swift,"country, pop, indie, folk"
gold rush,Taylor Swift,"country, pop, indie, folk"
happiness,Taylor Swift,"country, pop, indie, folk"
it’s time to go - bonus track,Taylor Swift,"country, pop, indie, folk"
ivy,Taylor Swift,"country, pop, indie, folk"
tolerate it,Taylor Swift,"country, pop, indie, folk"
long story short,Taylor Swift,"country, pop, indie, folk"
marjorie,Taylor Swift,"country, pop, indie, folk"
"no body, no crime (feat. HAIM)",Taylor Swift,"country, pop, indie, folk"
closure,Taylor Swift,"country, pop, indie, folk"
coney island (feat. The National),Taylor Swift,"country, pop, indie, folk"
cowboy like me,Taylor Swift,"country, pop, indie, folk"
dorothea,Taylor Swift,"country, pop, indie, folk"
evermore (feat. Bon Iver),Taylor Swift,"country, pop, indie, folk"
right where you left me - bonus track,Taylor Swift,"country, pop, indie, folk"
willow,Taylor Swift,"country, pop, indie, folk"
let all the poisons that lurk in the mud seep out,Kelsey Lu,"alternative r&b, art pop"
M3tamorphosis (feat. Kid Cudi),Playboi Carti,rage rap
Meh,Playboi Carti,rage rap
New N3on,Playboi Carti,rage rap
New Tank,Playboi Carti,rage rap
No Sl33p,Playboi Carti,rage rap
Not PLaying,Playboi Carti,rage rap
On That Time,Playboi Carti,rage rap
Teen X (feat. Future),Playboi Carti,rage rap
Vamp Anthem,Playboi Carti,rage rap
Go2DaMoon (feat. Kanye West),Playboi Carti,rage rap
Good Days,SZA,r&b
ILoveUIHateU,Playboi Carti,rage rap
JumpOutTheHouse,Playboi Carti,rage rap
King Vamp,Playboi Carti,rage rap
Beno!,Playboi Carti,rage rap
Over,Playboi Carti,rage rap
Place,Playboi Carti,rage rap
Punk Monk,Playboi Carti,rage rap
Rockstar Made,Playboi Carti,rage rap
Sky,Playboi Carti,rage rap
Slay3r,Playboi Carti,rage rap
Stop Breathing,Playboi Carti,rage rap
Control,Playboi Carti,rage rap
Die4Guy,Playboi Carti,rage rap
F33l Lik3 Dyin,Playboi Carti,rage rap
Still Trappin',Lil Durk,"chicago drill, drill"
Main Theme,Adam Skorupa,medieval
I Don't Want This Night To End,Luke Bryan,"country, acoustic country"
Angels Like You,Miley Cyrus,"country pop, rock, hip hop, experimental"
WTF Do I Know,Miley Cyrus,"country pop, rock, hip hop, experimental"
DÁKITI,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,"country pop, rock, hip hop, experimental"
Gimme What I Want,Miley Cyrus,"country pop, rock, hip hop, experimental"
Plastic Hearts,Miley Cyrus,"country pop, rock, hip hop, experimental"
Prisoner (feat. Dua Lipa),Miley Cyrus,"country pop, rock, hip hop, experimental"
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,"country pop, rock, hip hop, experimental"
High,Miley Cyrus,"country pop, rock, hip hop, experimental"
LA NOCHE DE ANOCHE,Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
Midnight Sky,Miley Cyrus,"country pop, rock, hip hop, experimental"
Never Be Me,Miley Cyrus,"country pop, rock, hip hop, experimental"
Night Crawling (feat. Billy Idol),Miley Cyrus,"country pop, rock, hip hop, experimental"
august - the long pond studio sessions,Taylor Swift,"country, pop, indie, folk"
cardigan - the long pond studio sessions,Taylor Swift,"country, pop, indie, folk"
invisible string - the long pond studio sessions,Taylor Swift,"country, pop, indie, folk"
the lakes - the long pond studio sessions,Taylor Swift,"country, pop, indie, folk"
Levitating,Dua Lipa,pop
May We All,Florida Georgia Line,"country, pop country, acoustic country"
Dynamite,BTS,k-pop
Highway Don't Care,Tim McGraw,"country, classic country"
Humble And Kind,Tim McGraw,"country, classic country"
River,Olivia Rodrigo,"pop rock, alternative pop, pop punk"
The First Departure,Sarah Schachner,soundtrack
New York's Only Spider-Man,John Paesano,soundtrack
Dark Materials: Between the Worlds,Lorne Balfe,soundtrack
:),Glitter Party,bedroom pop
34+35,Ariana Grande,pop
positions,Ariana Grande,pop
pov,Ariana Grande,pop
safety net (feat. Ty Dolla $ign),Ariana Grande,pop
shut up,Ariana Grande,pop
six thirty,Ariana Grande,pop
Diamonds,Sam Smith,soft pop
Fire On Fire,Sam Smith,soft pop
Hit Me Right,Johnny Goth,bedroom pop
just like magic,Ariana Grande,pop
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore"
west side,Ariana Grande,pop
love language,Ariana Grande,pop
motive (with Doja Cat),Ariana Grande,pop
my hair,Ariana Grande,pop
nasty,Ariana Grande,pop
obvious,Ariana Grande,pop
off the table (with The Weeknd),Ariana Grande,pop
The Best I Ever Had,Limi,dark r&b
ستفلي فلوسي,Shehab,"egyptian hip hop, arabic hip hop, mahraganat, egyptian pop"
Teardrops,Bring Me The Horizon,"metalcore, emo, screamo, rock, post-hardcore"
Outerspace,BEAUZ,hard techno
Judas Effect,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house"
If You Love Her,Forest Blakk,spoken word
Kill Them With Kindness,IDLES,"post-punk, punk, noise rock"
The Business,Tiësto,"edm, trance, big room"
DON'T CHASE THE DEAD,Marilyn Manson,"industrial metal, industrial rock, industrial, metal, nu metal"
Wild,Penthox,tropical house
OK Not To Be OK,Marshmello,edm
My Wish,Rascal Flatts,country
Head Over Boots,Jon Pardi,"country, acoustic country"
Hit Different,SZA,r&b
Flowers,Floats,future bass
THE PLAN,Travis Scott,rap
Never Really Over,Katy Perry,pop
Harleys In Hawaii,Katy Perry,pop
Ice Cream (with Selena Gomez),BLACKPINK,k-pop
Over Now (with The Weeknd),Calvin Harris,edm
A Girl Called Jazz,Omido,dark r&b
Hawái,Maluma,"reggaeton, latin, urbano latino"
Whoopty,CJ,dembow
epiphany,Taylor Swift,"country, pop, indie, folk"
exile (feat. Bon Iver),Taylor Swift,"country, pop, indie, folk"
mad woman,Taylor Swift,"country, pop, indie, folk"
mirrorball,Taylor Swift,"country, pop, indie, folk"
my tears ricochet,Taylor Swift,"country, pop, indie, folk"
august,Taylor Swift,"country, pop, indie, folk"
betty,Taylor Swift,"country, pop, indie, folk"
cardigan,Taylor Swift,"country, pop, indie, folk"
hoax,Taylor Swift,"country, pop, indie, folk"
illicit affairs,Taylor Swift,"country, pop, indie, folk"
invisible string,Taylor Swift,"country, pop, indie, folk"
peace,Taylor Swift,"country, pop, indie, folk"
seven,Taylor Swift,"country, pop, indie, folk"
the 1,Taylor Swift,"country, pop, indie, folk"
the lakes - bonus track,Taylor Swift,"country, pop, indie, folk"
the last great american dynasty,Taylor Swift,"country, pop, indie, folk"
this is me trying,Taylor Swift,"country, pop, indie, folk"
Laugh Now Cry Later (feat. Lil Durk),Drake,rap
All My Heroes - Radio Edit,Naeleck,electro house
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,"reggaeton, latin"
Nobody's Love,Maroon 5,pop
Addicts (feat. M Huncho),Unknown T,"uk drill, drill, grime, uk grime, afroswing"
Lord Shimura,Ilan Eshkeri,soundtrack
By the Sword,iamjakehill,emo rap
like u,Rosenfeld,dark r&b
Wishing Well,Juice WRLD,"melodic rap, emo rap"
Come & Go (with Marshmello),Juice WRLD,"melodic rap, emo rap"
"Ay, DiOs Mío!",KAROL G,"reggaeton, latin, urbano latino"
Be Like That - feat. Swae Lee & Khalid,Kane Brown,"country, pop country"
Smile (with The Weeknd),Juice WRLD,"melodic rap, emo rap"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,"brooklyn drill, new york drill, drill"
Head & Heart (feat. MNEK),Joel Corry,dance pop
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,"brooklyn drill, new york drill, drill"
What You Know Bout Love,Pop Smoke,"brooklyn drill, new york drill, drill"
How You Like That,BLACKPINK,k-pop
The Last of Us Part II,Gustavo Santaolalla,soundtrack
Secrets,A Boogie Wit da Hoodie,melodic rap
Djadja (feat. Maluma) - Remix,Aya Nakamura,"french r&b, pop urbaine"
U.N.I.T.Y.,Queen Latifah,"musicals, east coast hip hop"
Riot,XXXTENTACION,emo rap
Rain On Me (with Ariana Grande),Lady Gaga,"art pop, pop"
Sour Candy (with BLACKPINK),Lady Gaga,"art pop, pop"
Lose Somebody,Kygo,tropical house
Stupid Love,Lady Gaga,"art pop, pop"
Heartless (feat. Morgan Wallen),Diplo,moombahton
Higher Love,Kygo,tropical house
