track_name,artist_name,artist_genres
Manchild,Sabrina Carpenter,pop
Mazhar W Mal,Wegz,"egyptian hip hop, arabic hip hop, mahraganat, egyptian pop"
My Man on Willpower,Sabrina Carpenter,pop
Never Getting Laid,Sabrina Carpenter,pop
Nobody’s Son,Sabrina Carpenter,pop
mafhashmafhash,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
makan fi albak,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
matador,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
matrosh,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
mshmawgood,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
tefhaminish ghalat,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Sacrifice,Elvis Drew,dark r&b
shaklekmagnona,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
labubu,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Don't u cry,Omido,dark r&b
el makaan,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
faker bas nasy,Marwan Moussa,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat"
Running Cold,Besomorph,slap house
I'm Nice Till I'm Not,Kendra Erika,french indie pop
Make Believe,Luke Dean,house
Man I Need,Olivia Dean,pop soul
Southern Country Girl,2'Live Bre,christian hip hop
downtown,Lil Peep,"emo rap, cloud rap"
Hell At Night (feat. Ella Langley),BigXthaPlug,southern hip hop
Holy Water,Marshmello,edm
wgft (feat. Burna Boy),Gunna,melodic rap
need u,Minzie,dark r&b
forever be mine (feat. Wizkid),Gunna,melodic rap
Is It a Crime,Mariah the Scientist,alternative r&b
It Depends (feat. Bryson Tiller),Chris Brown,r&b
Back in the Saddle,Luke Combs,country
Which One (feat. Central Cee),Drake,rap
WRONG,Chris Grey,dark r&b
End Of Summer,Tame Impala,"neo-psychedelic, indie"
Girlie-Pop!,Amaarae,"alté, afrobeats, afro r&b"
To Be Free,Sam Smith,soft pop
Surrender,Besomorph,slap house
All This Time,Sonny Fodera,house
Perfectly,FKA twigs,"art pop, alternative r&b"
Vim Ti Agradecer,Paulo Henrique David,agronejo
WANT U,BURY,dark r&b
SOULFUL,Justin Bieber,"pop, contemporary r&b"
STANDING ON BUSINESS,Justin Bieber,"pop, contemporary r&b"
GLORY VOICE MEMO,Justin Bieber,"pop, contemporary r&b"
GO BABY,Justin Bieber,"pop, contemporary r&b"
i lied,Cheyanne,dark r&b
JUMP,BLACKPINK,k-pop
405,Justin Bieber,"pop, contemporary r&b"
ALL I CAN TAKE,Justin Bieber,"pop, contemporary r&b"
BUTTERFLIES,Justin Bieber,"pop, contemporary r&b"
SWAG,Justin Bieber,"pop, contemporary r&b"
SWEET SPOT,Justin Bieber,"pop, contemporary r&b"
THERAPY SESSION,Justin Bieber,"pop, contemporary r&b"
THINGS YOU DO,Justin Bieber,"pop, contemporary r&b"
TOO LONG,Justin Bieber,"pop, contemporary r&b"
WALKING AWAY,Justin Bieber,"pop, contemporary r&b"
WAY IT IS,Justin Bieber,"pop, contemporary r&b"
YUKON,Justin Bieber,"pop, contemporary r&b"
ZUMA HOUSE,Justin Bieber,"pop, contemporary r&b"
DADZ LOVE,Justin Bieber,"pop, contemporary r&b"
DAISIES,Justin Bieber,"pop, contemporary r&b"
DEVOTION,Justin Bieber,"pop, contemporary r&b"
FIRST PLACE,Justin Bieber,"pop, contemporary r&b"
FORGIVENESS,Marvin Winans,"gospel, gospel r&b"
Survive,Lewis Capaldi,soft pop
Sweat On Your Skin,Rumelis,dark r&b
Sweat On Your Skin - Slowed,Rumelis,dark r&b
Dirty Work (feat. Flo Milli),aespa,k-pop
Last One To Know,Gavin Adcock,"country, red dirt"
Meant To Be,Besomorph,slap house
not a love song,Elvis Drew,dark r&b
F1,Hans Zimmer,soundtrack
Gabriela,KATSEYE,k-pop
Strategy,TWICE,k-pop
Takedown,HUNTR/X,k-pop
"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,k-pop
What It Sounds Like,HUNTR/X,k-pop
6 Months Later,Megan Moroney,country
Golden,HUNTR/X,k-pop
How It’s Done,HUNTR/X,k-pop
Wide Open Spaces,Revline,country
Should've Been A Cowboy,Revline,country
Cruise,Revline,country
Drink In My Hand,Revline,country
Dust On The Bottle,Revline,country
"Forever And Ever, Amen",Revline,country
Neon Moon,Revline,country
It's A Great Day To Be Alive,Revline,country
Wagon Wheel,Revline,country
Before He Cheats,Revline,country
Boot Scootin' Boogie,Revline,country
Chattahoochee,Revline,country
Bleed,NAYM,dark r&b
Time,Dreycee,"amapiano, afropiano"
Hachikō,Fujii Kaze,j-pop
Broken Halo,Ericovich,nightcore
Fight Like A Girl (feat. K.Flay),Evanescence,alternative metal
No Broke Boys,Disco Lines,stutter house
Sapphire,Ed Sheeran,soft pop
Nice To Each Other,Olivia Dean,pop soul
THE LOVER,Kae,dark r&b
Just Keep Watching (From F1® The Movie),Tate McRae,pop
Easy Lover,Miley Cyrus,"country pop, rock, hip hop, experimental"
End of the World,Miley Cyrus,"country pop, rock, hip hop, experimental"
Miracle,Millows,hypertechno
No Division (feat. XSALT),Charlotte de Witte,"acid techno, techno, hard techno, tekno"
STRONG MEN,Og1savage,highlife
Mina Kupenda,Thierry Von Der Warth,tropical house
Can't Decide,Max Dean,house
Somewhere Over Laredo,Lainey Wilson,country
Don’t Say You Love Me,Jin,k-pop
I Got Better,Morgan Wallen,country
20 Cigarettes,Morgan Wallen,country
Monster Paradise,Naeleck,electro house
What I Want (feat. Tate McRae),Morgan Wallen,country
Bottle Rockets (feat. Hootie & The Blowfish),Scotty McCreery,"country, acoustic country"
Tonight,Rumelis,dark r&b
Illegal,PinkPantheress,bedroom pop
moody,Royel Otis,indie
Good Love,L. Charlemagne,drumstep
Priceless (feat. LISA),Maroon 5,pop
TU SANCHO,Fuerza Regida,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño"
Burning Blue,Mariah the Scientist,alternative r&b
Marlboro Rojo,Fuerza Regida,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño"
Gnarly,KATSEYE,k-pop
Bad Habit,Sadfriendd,"phonk, drift phonk"
"The Path - from The Last of Us: Season 2""""",Gustavo Santaolalla,soundtrack
touch me,Ex Habit,dark r&b
Pray To Me,Besomorph,slap house
Engraved On Your Skin,Elvis Drew,dark r&b
Don't Fall In Love,Rumelis,dark r&b
En 4,Kenia Os,reggaeton mexa
Breathe,Beneld,dark r&b
Smokestack Twins,Ludwig Göransson,soundtrack
NEVER EVER,Omido,dark r&b
In The Air Tonight,Marilyn Manson,"industrial metal, industrial rock, industrial, metal, nu metal"
Five Roses,Nic Dean,dark r&b
Forever,ZULAN,uk garage
Ghosttown,BURY,dark r&b
What An Awesome God,Phil Wickham,"worship, christian, ccm"
Shine Like Stars,Benji,afro house
Azizam,Ed Sheeran,soft pop
dandelion,Ariana Grande,pop
